"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"X041017C1d150S1"	"X041017E1d150S2"	"X041917E1d14S1"	"X041917F1d14S2"
"15"	"Ccdc170"	193.871077579036	3.2942885632198	0.502381325733642	6.55734676922764	5.47735445759366e-11	1.94993818690334e-08	14.2260953692511	34.2773717116487	387.03691900311	339.943924232133
"16"	"Otof"	727.620998436554	2.67052343338636	0.409641445156974	6.51917296201075	7.06960971221644e-11	2.35948224145224e-08	125.367465441525	207.517061173225	899.409627838834	1678.18983929263
"17"	"Kcna2"	60.1253135194138	4.24978843877599	0.655923245581467	6.47909411261772	9.22749373957086e-11	2.89851862172402e-08	0.889130960578193	0	135.362653019223	104.249470097854
"18"	"Prrc2a"	759.357983396659	-1.95783429371705	0.304572037955989	-6.42814851572145	1.29167512673634e-10	3.83196954265113e-08	1219.88767791328	1230.27971981269	267.717247082462	319.547288778205
"19"	"Zc2hc1a"	222.062789509973	-2.67859746303857	0.419112092924681	-6.39112425591582	1.64670497504037e-10	4.62810766669241e-08	397.441539378452	390.947320603129	51.1370022517063	48.7252958066058
"20"	"Afmid"	290.099872424142	-2.67316650755197	0.428660089732719	-6.23609841825669	4.48618917839061e-10	1.19781251063029e-07	543.259016913276	487.294527576412	47.1262569770627	82.7196882298191
"21"	"Capsl"	3585.98779150907	-1.76038607848297	0.284597853611779	-6.18552127551995	6.18975858946524e-10	1.50242322126111e-07	5545.50980112619	5667.8097332937	1856.97506216	1273.65656945639
"22"	"Slc23a2"	4685.31356433594	1.56212392185568	0.252281442531982	6.19198901900068	5.94096919436372e-10	1.50242322126111e-07	2135.69256730882	2472.60284049704	7626.43213973487	6506.52670980303
"23"	"Wdr17"	66.0073059032076	3.96489138995718	0.650181027717496	6.09813455165893	1.07313402654538e-09	2.49153726163145e-07	2.66739288173458	0	142.381457249849	118.980373481247
"24"	"Rfc4"	1491.07338702568	1.92161589728924	0.322280424373449	5.96255854206811	2.4831864101201e-09	5.52508976251723e-07	721.085209028914	447.458663154766	2323.22420033732	2472.52547558172
"25"	"Irs2"	86.5813245579252	-3.41145293637402	0.57696182552855	-5.91278796174915	3.36365075469189e-09	7.18475801202189e-07	164.489227706966	166.754781299913	6.01611791196545	9.06517131285689
"26"	"Agpat5"	2787.01721654207	1.56145123602848	0.273697491308053	5.70502575148207	1.16325500898305e-08	2.35881171077327e-06	1555.09005005126	1171.91554635772	4401.79293892139	4019.27033083792
"27"	"Fgf23"	1610.47205503918	-1.53404383521751	0.269094031128288	-5.70077243551407	1.19265760657076e-08	2.35881171077327e-06	2426.43839141789	2414.23866704207	870.331724597668	730.879437099087
"28"	"1810034E14Rik"	52.8134760912839	3.76487457224132	0.664353506092238	5.66697479236093	1.45340714724062e-08	2.69206833629772e-06	0	1.85283090333236	106.284749778056	103.116323683747
"29"	"Ccdc11"	49.034687203127	3.851620271879	0.680480117989986	5.66015107576689	1.51239794174029e-08	2.69206833629772e-06	0	0	60.1611791196545	135.977569692853
"30"	"Snrpd1"	3036.77918607507	1.41223462413908	0.249342549768768	5.66383325047705	1.48028263246549e-08	2.69206833629772e-06	1531.08351411565	1706.45726196911	4235.34701002368	4674.22895819183
"31"	"Camk1g"	41.7363347493338	3.76267252347504	0.681423136738725	5.52178568735294	3.35571643083464e-08	5.78049217440548e-06	0	0	84.2256507675163	82.7196882298191
"32"	"Fam53b"	392.812898389295	-2.2690948155116	0.412699939519723	-5.49817094267629	3.83750831753196e-08	6.40384200488147e-06	539.702493070963	797.643703884582	144.386829887171	89.5185667144618
"33"	"Clip4"	369.348824077007	2.09171452751919	0.381329437661604	5.48532140698616	4.12718332746462e-08	6.48756126038736e-06	138.704429850198	113.94910055494	706.89385465594	517.84791124695
"34"	"Mrps6"	825.92337892709	1.67199810008189	0.304821414817802	5.48517269064341	4.13065698226911e-08	6.48756126038736e-06	407.221979944812	345.552963471486	1174.14567915192	1376.77289314014
"35"	"Ostm1"	175.966416402229	-2.51951220909175	0.462693627023135	-5.44531426832419	5.17139990740736e-08	7.89007871587294e-06	305.861050438898	314.054838114836	34.0913348344709	49.8584422207129
"36"	"Gm4922"	370.233857050784	-2.42716846846671	0.447051345559262	-5.42928344266657	5.65807623598694e-08	8.39281308338062e-06	534.367707307494	755.028593107938	130.349221425918	61.189906361784
"37"	"Rapgef6"	1633.50181035879	1.41931987097901	0.261851789037622	5.42031763920884	5.94932328643197e-08	8.58632063501262e-06	869.570079445473	860.639954597883	2270.0818254483	2533.7153819435
"38"	"Arhgap15os"	132.979464941423	2.70858492155526	0.502890443260036	5.38603379296015	7.20294260554521e-08	1.0122029872003e-05	21.3391430538766	30.571709904984	264.70918812648	215.297818680351
"39"	"Smurf2"	445.477026317767	1.93293574331129	0.365301123101263	5.29134902981252	1.21417395218981e-07	1.66248433453682e-05	147.59573945598	191.7679984949	626.678949163068	815.86541815712
"40"	"Herc2"	70.4178018701229	3.12769815797467	0.59546105030484	5.2525654807707	1.49995111681748e-07	2.00243474095133e-05	6.22391672404735	8.33773906499564	124.333103513953	142.776448177496
